id,Arrival,Departure,energy
1,111,118,34.21940657930263
2,137,143,28.8119026263407
3,110,117,37.47026717521162
4,146,152,27.22695644013376
5,83,87,17.74211479080903
6,74,78,18.86639618279483
7,147,154,34.36516451937782
8,116,122,26.61721982209301
9,99,108,60.57493140647674
10,129,136,35.31045102226918
11,126,132,23.65229373248413
12,168,175,40.33097437532613
13,115,126,66.0
14,97,103,29.42242257722808
15,99,105,25.21073359712427
16,112,120,49.78929187503515
17,107,114,36.52502876282681
18,141,147,31.64245317349708
19,110,121,66.0
20,123,129,21.92507555026571
21,129,133,13.53494106863344
22,121,128,32.91178568283894
23,100,109,64.18003505378556
24,125,136,66.0
25,124,133,61.66663804034584
26,155,162,35.74291699676674
27,93,102,59.16521044868939
28,129,136,35.42459664042794
29,119,127,51.78297272764483
30,131,137,27.61530248161451
31,138,147,62.59160497623861
32,111,118,39.1338309451926
33,131,137,25.01489112066826
34,135,143,51.6675683391009
35,114,122,44.9726416146134
36,119,125,29.671772441279
37,143,151,50.09055501716657
38,143,152,55.10394324455964
39,91,98,33.00543854792185
40,120,127,33.86678005853091
41,88,95,35.194809167457
42,132,141,64.42528661668604
43,112,119,40.57135168060108
44,126,133,42.24438693577129
45,136,140,19.71107751056212
46,121,127,28.51047938423098
47,118,124,31.92343530846235
48,113,119,23.54379119595632
49,152,160,52.72013926490154
50,142,148,21.96433683836299
51,118,125,41.62887762445999
52,91,100,63.81306460900363
53,100,108,52.92732224691422
54,84,90,23.34040865338656
55,143,149,28.41072736167522
56,136,142,30.38175708800664
57,157,166,63.69843756672396
58,124,130,26.02000137517087
59,174,181,33.69687677452592
60,89,96,32.42855576415195
61,97,106,58.15473710443558
62,124,132,44.94417898841959
63,82,91,63.19520059387846
64,113,122,62.12108972424177
65,120,126,21.70138201616533
66,128,134,29.38950525915712
67,128,137,55.97465610484205
68,134,141,39.54800179787581
69,75,79,21.46819951302682
70,86,97,64.9393972556401
71,100,106,22.94423849255544
72,140,148,51.75367130265532
73,72,76,21.15889919213063
74,84,91,37.447180176469
75,128,137,60.16447242255811
76,103,109,27.1314465175312
77,93,104,66.0
78,162,168,30.49276395012613
79,121,125,15.70117784297975
80,106,113,34.22313067154779
81,138,147,54.3359374249756
82,132,141,56.8530029755276
83,101,108,32.50342491113668
84,99,106,36.36979658155072
85,141,147,23.99852102063805
86,112,118,31.78944015095604
87,132,138,29.91355438541266
88,103,112,59.60728681783167
89,103,109,21.72353130954243
90,117,128,66.0
91,87,93,31.30562740418826
92,112,118,27.14911690296652
93,156,167,66.0
94,115,121,21.70425093088764
95,122,128,31.19323656283573
96,85,93,51.51916594031858
97,125,136,66.0
98,161,167,28.90386739419995
99,83,94,66.0
100,103,114,66.0
101,123,131,48.31450701278516
102,167,175,46.98115168891583
103,128,135,40.25951406887154
104,117,124,35.27324572710144
105,86,94,43.81954156521397
106,88,94,28.65148814527863
107,124,132,45.80135763380572
108,118,124,31.85855113265268
109,98,104,27.51844607054706
110,73,82,64.40742653370245
111,161,170,57.5018542486461
112,87,93,23.03149920701018
113,123,127,21.02930432478355
114,87,93,30.12579549720533
115,117,125,52.8862323845178
116,114,118,20.64708456081232
117,86,94,48.15834310266533
118,87,94,39.21304798380491
119,124,128,20.22388139611223
120,98,105,39.98711895289315
121,137,144,38.09499218252353
122,112,118,29.18311403892261
123,126,135,58.3300637228155
124,106,112,30.70998646673594
125,119,126,32.67692682315064
126,116,124,53.01059419172293
127,86,94,47.00476529680444
128,147,154,37.2081257576332
129,122,128,29.74007369849432
130,124,130,30.57311916412334
131,140,146,30.95138727578498
132,87,95,49.54324837947033
133,127,135,46.42426913469681
134,109,115,32.09253212589587
135,128,134,23.20403335024767
136,171,178,41.23821153608612
137,73,79,24.4622611593265
138,102,108,22.93607731623355
139,137,144,33.83219130745965
140,113,124,65.46351244097093
141,119,125,26.1785052569285
142,130,136,29.97598253521202
143,123,134,66.0
144,131,138,40.9135789715415
145,123,127,21.30855887500774
146,112,120,50.12913188774966
147,112,119,35.43739199016561
148,118,125,34.89517601178309
149,142,149,36.32628405454459
150,72,79,34.13775336974174
151,104,113,63.23809791335913
152,148,155,39.08624175227923
153,168,172,20.01387684814728
154,130,136,27.3360512729433
155,104,110,28.78230977465128
156,127,138,66.0
157,113,119,30.65667046082145
158,166,175,59.13241507716273
159,133,139,31.59996593901892
160,151,157,23.59021183425118
161,142,151,62.51415701784609
162,153,159,26.68218924626873
163,93,100,38.27568119248755
164,123,132,58.23534070133389
165,121,127,26.18752423403392
166,91,100,56.1236639786578
167,95,101,26.32685294061286
168,105,112,34.2338203184642
169,80,86,26.92206215935878
170,146,152,28.85541067899013
171,112,116,19.67118220889159
172,157,164,39.17605434185317
173,147,154,37.13619817595902
174,102,111,57.1235614144138
175,100,106,23.35766428751175
176,120,126,21.63336769693458
177,95,99,12.2550098813428
178,106,115,56.79435118785236
179,135,141,29.87325298891514
180,117,128,65.30090895168286
181,94,101,34.57286609066843
182,114,121,41.09620961366549
183,127,133,25.88757960277947
184,100,106,28.89768242243571
185,106,112,23.72809715566558
186,99,108,56.84154283332255
187,105,111,29.70158927092176
188,110,119,60.31209948972428
189,136,142,31.20208343238231
190,143,149,31.77601673037497
191,160,171,66.0
192,134,143,62.456151246674
193,79,85,25.92998669395072
194,71,77,25.76930419117373
195,89,96,34.58248925551237
196,92,98,25.56197766034292
197,126,137,66.0
198,175,181,24.68454882895227
199,145,153,43.60647485409304
200,129,136,32.38962361439501
201,134,145,66.0
202,119,125,25.78177282801848
203,144,152,52.60883321139337
204,144,153,64.22740984903808
205,111,117,30.19475370095643
206,147,153,28.89918554554258
207,157,161,20.81976791318101
208,137,143,26.75899878269368
209,100,107,36.02113737061334
210,122,129,42.85574853171232
211,131,139,46.58149622875851
212,139,146,32.53624702375279
213,108,116,49.02045254336445
214,135,141,24.52476915379776
215,139,148,58.30445603016501
216,134,141,41.09865008288268
217,108,115,33.50333816054967
218,120,131,66.0
219,126,134,50.48591546070629
220,133,140,37.28166894011022
221,124,131,39.01651912436337
222,120,129,60.10969710611344
223,89,96,33.89643789610552
224,138,144,25.30071586828177
225,170,177,32.38226049884312
226,117,123,22.08239729520274
227,112,119,32.74456431289702
228,109,115,23.76399670600536
229,133,142,59.21472267241874
230,116,122,25.68980199373876
231,117,126,57.23129674509948
232,123,130,32.74040231523232
233,138,144,30.52436679562671
234,128,135,38.2087013661688
235,106,115,59.01584490732257
236,105,113,44.62867547335137
237,141,150,58.75813248268465
238,103,107,18.55928148384367
239,101,107,26.33815958248234
240,132,139,36.27704145715805
241,143,152,56.77877617742296
242,133,139,29.77109063285103
243,107,116,57.5901588044317
244,120,126,32.14796422817463
245,119,126,34.94186494973395
246,154,160,30.34175817171568
247,122,128,24.88869767551688
248,115,124,58.76799733806621
249,113,122,63.17176419416187
250,134,140,21.58760065501291
251,114,125,66.0
252,116,123,36.46785667540137
253,107,111,13.29221942270648
254,138,145,39.7452460375943
255,130,136,31.20677446863143
256,109,117,49.76047848195142
257,112,120,52.98914823401215
258,138,146,50.44669939633379
259,168,174,23.22486052683416
260,92,99,37.25166375629517
261,110,119,58.37013399485305
262,162,168,29.76307493886873
263,136,145,56.54367453442035
264,95,102,34.15842925144246
265,120,127,36.03789735369767
266,113,121,53.23309381723028
267,129,136,42.55187333835739
268,103,112,55.73469093967196
269,138,145,42.70851714688639
270,133,139,23.18063800829454
271,100,107,35.09236501380776
272,141,148,34.02236867961766
273,102,108,32.09619354407178
274,148,154,29.778129783647
275,87,93,27.58698811578902
276,147,158,66.0
277,140,151,64.58867071334569
278,67,74,35.63049688927004
279,123,125,8.375893621097909
280,122,128,27.7483445306044
281,112,118,28.99129992512662
282,81,87,26.41552189816217
283,115,122,39.97409269905106
284,127,134,39.71991782656525
285,83,94,64.76557539085849
286,109,116,32.53474175337425
