id,Arrival,Departure,energy
1,23,28,33.32095092725975
2,21,26,42.0366611899758
3,14,21,59.34258533575704
4,18,23,35.41548735040312
5,20,23,13.79368618392264
6,19,23,23.08038608786909
7,22,30,66.0
8,19,26,55.78097074873013
9,21,28,63.65120542448217
10,20,25,34.06231005726417
11,21,26,33.10878650610368
12,18,22,30.74121704871377
13,14,19,41.0880672039316
14,28,32,28.33179243516681
15,24,29,35.52517776955825
16,26,34,65.6964176269302
17,25,30,39.48021383054821
18,19,21,7.440264217584367
19,22,26,22.7433180382186
20,22,26,28.04467997112043
21,15,20,34.22232954178076
22,26,30,25.66075333011399
23,20,28,66.0
24,26,31,37.6519241919722
25,19,24,33.01572405597821
26,22,26,26.33063844956762
27,31,36,38.25513148295285
28,24,28,27.10773394248958
29,17,20,14.36418961858472
30,21,25,22.88360116024453
31,20,24,25.12784109124682
32,20,25,39.31842374701996
33,19,23,29.02228674609127
34,25,29,32.1138240569264
35,18,22,30.5070872302717
36,19,23,25.0152915167945
37,22,28,43.34260660376475
38,22,25,15.78113088141793
39,17,22,33.65394615581204
40,25,28,16.73583635873089
41,17,23,43.40473371956524
42,18,25,58.34388588989308
43,24,28,27.8882089126129
44,18,26,66.0
45,25,32,56.03393644710626
46,23,27,29.84391202511127
47,23,28,35.74551709484582
48,23,30,58.2075709822542
49,24,32,66.0
50,28,36,66.0
